,geometry,osid,theme,changetype,name1_text,name2_text,description,versiondate,name1_language,name2_language,routehierarchy,formspartofstreet,geometry_length_m,alternatename1_text,alternatename2_text,averagespeed_source,versionavailabletodate,alternatename1_language,alternatename2_language,averagespeed_updatedate,indicativespeedlimit_kph,indicativespeedlimit_mph,roadclassificationnumber,versionavailablefromdate,averagespeed_evidencedate,indicativespeedlimit_source,indicativespeedlimit_updatedate,averagespeed_mf4to7capturemethod,averagespeed_mf7to9capturemethod,averagespeed_ss4to7capturemethod,averagespeed_mf22to4capturemethod,averagespeed_mf9to12capturemethod,averagespeed_ss22to4capturemethod,averagespeed_ss7to10capturemethod,indicativespeedlimit_evidencedate,averagespeed_mf12to14capturemethod,averagespeed_mf14to16capturemethod,averagespeed_mf16to19capturemethod,averagespeed_mf19to22capturemethod,averagespeed_mf4to7indirection_kph,averagespeed_mf7to9indirection_kph,averagespeed_ss10to14capturemethod,averagespeed_ss14to19capturemethod,averagespeed_ss19to22capturemethod,averagespeed_ss4to7indirection_kph,indicativespeedlimit_capturemethod,averagespeed_mf22to4indirection_kph,averagespeed_mf9to12indirection_kph,averagespeed_ss22to4indirection_kph,averagespeed_ss7to10indirection_kph,averagespeed_mf12to14indirection_kph,averagespeed_mf14to16indirection_kph,averagespeed_mf16to19indirection_kph,averagespeed_mf19to22indirection_kph,averagespeed_ss10to14indirection_kph,averagespeed_ss14to19indirection_kph,averagespeed_ss19to22indirection_kph,averagespeed_mf4to7againstdirection_kph,averagespeed_mf7to9againstdirection_kph,averagespeed_ss4to7againstdirection_kph,averagespeed_mf22to4againstdirection_kph,averagespeed_mf9to12againstdirection_kph,averagespeed_ss22to4againstdirection_kph,averagespeed_ss7to10againstdirection_kph,averagespeed_mf12to14againstdirection_kph,averagespeed_mf14to16againstdirection_kph,averagespeed_mf16to19againstdirection_kph,averagespeed_mf19to22againstdirection_kph,averagespeed_ss10to14againstdirection_kph,averagespeed_ss14to19againstdirection_kph,averagespeed_ss19to22againstdirection_kph,distance_to_point,bearing_to_point,site
0,"LINESTRING (393638.55160438525 805943.2565536886, 393666.55041258916 805888.2533362103, 393669.55177086487 805884.2522099804)",3c2a54ab-f0ee-437d-b07f-6e947357e845,Transport,Modified Attributes,Bon-Accord Street,,Average And Indicative Speed,2023-11-10,,,Minor Road,"['7603042', '7601097']",66.717,,,Basemap,,,,2023-08-17,32,20,,2023-11-11T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-10-14,Field Survey,Field Survey,Field Survey,Field Survey,15.8,23.8,Field Survey,Field Survey,Field Survey,17.2,Desk-Based,23.8,20.0,21.6,21.2,19.5,20.8,19.6,22.9,19.0,7.4,18.5,6.6,4.5,17.2,7.2,5.2,9.8,6.4,5.2,5.5,4.5,6.4,5.3,6.8,7.6,31.59241280425316,178.09267148381764,ABD7
1,"LINESTRING (393610.5564384591 805996.2561756581, 393612.55469965725 805993.2473486213, 393638.55160438525 805943.2565536886)",4ca68012-3871-4046-b22d-66f53c42ef03,Transport,Modified Attributes,Union Row,,Average And Indicative Speed,2023-09-29,,,Local Road,['7600241'],59.962,Bon-Accord Street,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Automated Process,Field Survey,Field Survey,Field Survey,2015-12-31,Field Survey,Field Survey,Field Survey,Field Survey,4.5,4.8,Field Survey,Field Survey,Field Survey,28.2,Desk-Based,25.9,5.5,3.7,9.7,4.0,5.5,4.5,9.5,8.9,4.7,4.2,,,,,,,,,,,,,,,27.843724423494855,257.6845718845924,ABD7
2,"LINESTRING (393626.82236827514 806050.0656194894, 393644.56905283313 806037.3805138925)",4d9ec084-f184-4347-847e-8b5362dedb31,Transport,Modified Attributes,Huntly Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['7601001'],21.81,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2016-11-23,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,26.1,25.6,34.1,22.4,22.7,22.4,15.0,23.2,24.6,21.4,17.7,11.4,17.5,27.5,69.0499682824822,338.6762861890117,ABD7
3,"LINESTRING (393587.5559546894 805985.2493993058, 393584.5534536384 805992.2562664814, 393581.5554106754 805998.2501038577, 393557.55777562945 806045.2546727167, 393556.55485572445 806046.2581591527, 393538.7816313428 806057.2849968356)",65c35125-1abf-4206-819c-b6d984cccb97,Transport,Modified Attributes,Union Wynd,,Average And Indicative Speed,2023-09-29,,,Local Road,['7601002'],89.433,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Field Survey,Automated Process,Field Survey,2019-11-16,Field Survey,Field Survey,Field Survey,Automated Process,27.2,23.2,Automated Process,Field Survey,Field Survey,28.2,Field Survey,25.9,26.2,25.9,20.1,24.9,25.4,3.4,25.1,24.9,34.3,26.2,,,,,,,,,,,,,,,70.62571338080951,264.9702948016221,ABD7
4,"LINESTRING (393545.55098647176 805782.2546484523, 393581.54831163527 805810.2505086145, 393617.55277714244 805839.2485641361, 393669.55177086487 805884.2522099804)",6ae00f29-9509-4642-9bd7-9df6ebc2acf1,Transport,Modified Attributes,Langstane Place,,Average And Indicative Speed,2023-09-29,,,Local Road,['7600077'],160.602,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-01-25,Field Survey,Field Survey,Field Survey,Field Survey,35.1,21.6,Field Survey,Field Survey,Field Survey,28.0,Desk-Based,19.0,21.4,12.6,18.8,5.5,21.2,20.6,20.3,23.0,19.0,19.3,35.1,7.9,28.0,20.6,10.5,19.3,28.5,14.2,18.7,26.2,8.1,27.4,11.8,20.0,86.10911424205854,121.48132061705286,ABD7
5,"LINESTRING (393669.55177086487 805884.2522099804, 393691.54767769855 805852.2464150786, 393700.55020591663 805835.2447701725)",7a519876-7169-4790-9ceb-e052b9af752d,Transport,Modified Attributes,Bon-Accord Street,,Average And Indicative Speed,2023-09-29,,,Minor Road,"['7601097', '7603042']",58.068,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,2019-11-16,Field Survey,Field Survey,Field Survey,Field Survey,29.3,27.0,Field Survey,Field Survey,Field Survey,43.5,Field Survey,8.4,24.0,11.8,33.6,7.9,8.4,13.8,20.0,25.1,21.6,25.6,29.3,13.0,43.5,33.2,8.5,24.0,24.5,6.9,6.0,18.0,23.2,17.5,11.3,26.7,86.10911424205854,210.73581869889688,ABD7
6,"LINESTRING (393587.55779404304 806078.2473236982, 393612.5573847353 806060.251715091, 393615.60379868065 806058.0761488493)",8b4b94c2-bcf5-415c-b333-3667497358fa,Transport,Modified Attributes,Huntly Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['7601001'],34.553,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Automated Process,,,,,,,,,,,,22.4,23.7,31.1,20.1,18.0,20.1,20.4,22.4,20.3,21.1,21.4,21.9,15.8,23.0,97.64596958773146,311.43887676300915,ABD7
7,"LINESTRING (393736.54861837 805943.2486737662, 393769.54707383906 805848.7416028542, 393780.5458615083 805815.2503670121)",9989eee4-5dda-4a16-8305-d280dd2cc232,Transport,Modified Attributes,Gordon Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['7600009'],135.356,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Field Survey,Automated Process,Automated Process,Field Survey,Automated Process,Field Survey,2019-11-16,Field Survey,Field Survey,Field Survey,Field Survey,27.2,21.2,Field Survey,Automated Process,Automated Process,28.2,Field Survey,25.9,19.6,25.9,9.0,19.0,18.5,16.9,21.1,4.8,24.0,24.6,27.2,12.7,28.2,25.9,19.6,25.9,9.0,12.1,13.0,17.1,21.1,4.8,24.0,24.6,84.32100113820839,275.06558631205405,ABD7
8,"LINESTRING (393709.5545450639 805979.247293567, 393746.5517874803 805998.2482719905, 393759.55329848157 806004.2507212638, 393760.5533113862 806005.2510744)",b5222ce6-90a0-47a2-8da8-8d9b97635419,Transport,Modified Attributes,Union Street,,Average And Indicative Speed,2023-11-10,,,Minor Road,"['7600082', '7603022']",57.325,,,Basemap,,,,2023-08-17,32,20,,2023-11-11T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2018-10-13,Field Survey,Field Survey,Field Survey,Field Survey,23.3,21.7,Field Survey,Field Survey,Field Survey,33.0,Field Survey,28.0,16.1,28.3,27.2,15.8,18.2,15.1,21.2,12.4,14.7,20.6,29.1,33.5,26.9,32.8,29.0,33.5,30.9,32.5,31.1,31.5,30.9,32.5,32.7,29.0,54.10046460176923,100.39733621868362,ABD7
9,"LINESTRING (393669.55177086487 805884.2522099804, 393735.5485846684 805942.2483265245, 393736.54861837 805943.2486737662)",c2e2cfbf-ba64-4280-b583-0498ae2743f2,Transport,Modified Attributes,Langstane Place,,Average And Indicative Speed,2023-09-29,,,Local Road,['7600077'],89.278,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2019-11-16,Field Survey,Field Survey,Field Survey,Field Survey,22.9,13.2,Field Survey,Field Survey,Field Survey,16.1,Field Survey,17.4,14.2,15.5,16.4,14.5,15.1,17.1,15.8,14.2,15.3,18.2,,,,,,,,,,,,,,,72.6228494442295,213.53792927243214,ABD7
