,geometry,osid,theme,changetype,name1_text,name2_text,roadlinkid,description,versiondate,name1_language,name2_language,routehierarchy,geometry_length_m,alternatename1_text,alternatename2_text,capturespecification,versionavailabletodate,alternatename1_language,alternatename2_language,roadclassificationnumber,versionavailablefromdate,presenceofpavement_source,presenceofpavement_sideofroad,presenceofpavement_updatedate,presenceofpavement_evidencedate,presenceofpavement_capturemethod,presenceofpavement_averagewidth_m,presenceofpavement_minimumwidth_m,distance_to_point,bearing_to_point,site
0,"LINESTRING (393588.7848027727 806077.3659440057, 393612.5573847353 806060.251715091, 393615.60379868065 806058.0761488493)",0a5aa945-b52b-4ac7-b7bb-80c588a9d9ce,Transport,New,Huntly Street,,8b4b94c2-bcf5-415c-b333-3667497358fa,Pavement,2023-09-14,,,Local Road,33.037,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-08-25,Automated Process,1.76,1.43,97.64596958773146,311.85120186935313,ABD7
1,"LINESTRING (393610.87035426806 805995.7769988448, 393612.04759620246 805994.0162653793)",0dda6686-5c93-4a30-a6c7-db3b681b64e7,Transport,Modified Attributes,Union Row,,4ca68012-3871-4046-b22d-66f53c42ef03,Pavement,2023-11-10,,,Local Road,2.118,Bon-Accord Street,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2019-08-25,Automated Process,0.78,0.69,50.723789097425936,295.43610813348135,ABD7
2,"LINESTRING (393737.16918030236 805941.4777044054, 393758.4972249149 805880.3961455217)",17f08aba-457c-4df3-b3e6-a9a60d4669cd,Transport,New,Gordon Street,,9989eee4-5dda-4a16-8305-d280dd2cc232,Pavement,2023-11-10,,,Local Road,64.696,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2006-06-22,Automated Process,0.89,0.75,85.47223109885337,248.98494843440275,ABD7
3,"LINESTRING (393626.82236827514 806050.0656194894, 393644.56905283313 806037.3805138925)",1a276678-6620-4dcd-9900-03bc3bbaf785,Transport,New,Huntly Street,,4d9ec084-f184-4347-847e-8b5362dedb31,Pavement,2023-09-14,,,Local Road,21.81,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-08-25,Automated Process,2.22,1.49,69.0499682824822,338.6762861890117,ABD7
4,"LINESTRING (393644.61137694574 806037.3581832573, 393661.55425211304 806025.253282745, 393692.5542897124 806005.2449985009, 393698.5523975473 805998.2446844373, 393699.555380913 805997.2523647205, 393705.6139924818 805986.3334529732)",2b81b162-561f-4c65-b59c-c0a3145b32da,Transport,Modified Attributes,Huntly Street,,d87720c6-e12e-4dd7-bdfa-70e0e742b03c,Pavement,2023-11-10,,,Local Road,80.831,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2014-11-09,Automated Process,1.78,1.0,49.785463219036934,26.43992368633883,ABD7
5,"LINESTRING (393617.16327059915 806056.9604791232, 393625.1903459443 806051.2259281895)",2f5a2b20-59ae-48dd-b322-425e092d52f0,Transport,New,Huntly Street,,cc69e086-f6d7-42b9-a2a5-afda09be5625,Pavement,2023-09-14,,,Local Road,9.87,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2014-11-09,Automated Process,1.36,1.0,87.61477418048422,325.9953923352023,ABD7
6,"LINESTRING (393594.39943042205 805988.6784147155, 393605.5548472784 805994.2491425897, 393609.4241169922 805995.8015423267)",2f5f0645-561c-433d-84a8-656e95ca8c70,Transport,New,Union Row,,c47237b2-0de5-462b-8435-fc6c7eb16279,Pavement,2023-09-14,,,Local Road,16.639,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2001-10-10,Automated Process,1.8,0.83,53.885112930179346,282.76473959640754,ABD7
7,"LINESTRING (393737.19680894783 805943.6929578234, 393769.55236475886 805966.3415268052, 393771.3212873535 805967.5856076409)",323a775b-f557-4c9a-a31a-2668956b3d07,Transport,New,Langstane Place,,e533fd01-7dd8-439b-bd78-c7e23d25fef9,Pavement,2023-09-14,,,Local Road,41.654,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2006-06-22,Automated Process,1.54,0.92,84.80214808372861,164.1359550410176,ABD7
8,"LINESTRING (393617.16327059915 806056.9604791232, 393626.82236827514 806050.0656194894)",47466d80-2016-4ae2-998d-8fbca69f1402,Transport,New,Huntly Street,,cc69e086-f6d7-42b9-a2a5-afda09be5625,Pavement,2023-09-14,,,Local Road,11.87,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-08-25,Automated Process,1.75,1.49,85.95686068090782,326.6643273802375,ABD7
9,"LINESTRING (393653.9903686919 805870.7843838793, 393666.2977087217 805881.4408608734)",524d51ec-d7f3-4975-8023-10a48f717097,Transport,New,Langstane Place,,6ae00f29-9509-4642-9bd7-9df6ebc2acf1,Pavement,2023-09-14,,,Local Road,16.279,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2014-11-09,Automated Process,2.02,0.78,88.46426694562717,183.63331277435825,ABD7
10,"LINESTRING (393709.5545450639 805979.247293567, 393746.5517874803 805998.2482719905, 393757.7668683722 806003.4185616586)",545954d5-e5d9-4ae6-99e4-ed4a31943cbf,Transport,Modified Attributes,Union Street,,b5222ce6-90a0-47a2-8da8-8d9b97635419,Pavement,2023-11-10,,,Minor Road,53.944,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-08-25,Automated Process,4.25,0.52,54.10046460176923,99.61917905811401,ABD7
11,"LINESTRING (393533.8003998328 805889.6428634911, 393636.7286401331 805942.3131823371)",564e4f44-1e02-4cd7-bf20-4ccc3ddcb217,Transport,Modified Attributes,Union Street,,c7747d96-439d-4961-ae07-0fde70a3476e,Pavement,2023-11-10,,,Minor Road,115.622,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2014-11-09,Automated Process,3.4,0.53,33.41368872793092,130.08612117832092,ABD7
12,"LINESTRING (393670.6325236255 805882.6697585536, 393691.54767769855 805852.2464150786, 393700.55020591663 805835.2447701725)",5af8032a-a2de-4ac4-a26a-6d74789dc84a,Transport,New,Bon-Accord Street,,7a519876-7169-4790-9ceb-e052b9af752d,Pavement,2023-09-14,,,Minor Road,56.153,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2014-11-09,Automated Process,5.36,1.09,87.84226005062509,211.42492349415915,ABD7
13,"LINESTRING (393628.0115873996 805963.5224712486, 393635.016129409 805950.0527090656)",5bc620db-6178-4a24-9c2e-78df456f8f0f,Transport,Modified Attributes,Union Row,,4ca68012-3871-4046-b22d-66f53c42ef03,Pavement,2023-11-10,,,Local Road,15.178,Bon-Accord Street,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2014-11-09,Automated Process,2.27,1.11,27.84474762135242,192.3036064097462,ABD7
