,geometry,osid,theme,changetype,name1_text,name2_text,roadlinkid,description,versiondate,name1_language,name2_language,routehierarchy,geometry_length_m,alternatename1_text,alternatename2_text,capturespecification,versionavailabletodate,alternatename1_language,alternatename2_language,roadclassificationnumber,versionavailablefromdate,presenceofpavement_source,presenceofpavement_sideofroad,presenceofpavement_updatedate,presenceofpavement_evidencedate,presenceofpavement_capturemethod,presenceofpavement_averagewidth_m,presenceofpavement_minimumwidth_m
0,"LINESTRING (-2.108488 57.143853, -2.1067885 57.1443276)",564e4f44-1e02-4cd7-bf20-4ccc3ddcb217,Transport,Modified Attributes,Union Street,,c7747d96-439d-4961-ae07-0fde70a3476e,Pavement,2023-11-10,,,Minor Road,115.622,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2014-11-09,Automated Process,3.4,0.53
1,"LINESTRING (-2.1069331 57.144518, -2.106817 57.1443971)",5bc620db-6178-4a24-9c2e-78df456f8f0f,Transport,Modified Attributes,Union Row,,4ca68012-3871-4046-b22d-66f53c42ef03,Pavement,2023-11-10,,,Local Road,15.178,Bon-Accord Street,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2014-11-09,Automated Process,2.27,1.11
2,"LINESTRING (-2.1066933 57.1443541, -2.1056431 57.1446446)",618c14cb-a5e8-4402-9d18-185c629afc0b,Transport,Modified Attributes,Union Street,,dc5f9bbb-9dfe-40f2-8cfe-630784a0bc30,Pavement,2023-11-10,,,Minor Road,71.311,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2014-11-09,Automated Process,4.23,1.0
3,"LINESTRING (-2.1072102 57.1448018, -2.1071893 57.1447848, -2.1069538 57.1445396)",62c3e9db-d0a8-45c3-b0ad-e4975c964588,Transport,Modified Geometry And Attributes,Union Row,,4ca68012-3871-4046-b22d-66f53c42ef03,Pavement,2023-11-10,,,Local Road,33.07,Bon-Accord Street,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2014-11-09,Automated Process,2.27,1.11
4,"LINESTRING (-2.1066977 57.1442715, -2.1062943 57.1438424, -2.1062589 57.1438168)",826b9208-3570-4025-ac1b-14f0c5e6ebbc,Transport,Modified Attributes,Bon-Accord Street,,3c2a54ab-f0ee-437d-b07f-6e947357e845,Pavement,2023-11-10,,,Minor Road,57.209,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2019-08-25,Automated Process,2.23,0.89
5,"LINESTRING (-2.1071759 57.1447708, -2.1068148 57.1443948)",83a4d5e4-fc88-4a56-8eca-95fd0955adf4,Transport,New,Union Row,,4ca68012-3871-4046-b22d-66f53c42ef03,Pavement,2023-11-10,,,Local Road,47.226,Bon-Accord Street,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2014-11-09,Automated Process,1.75,1.05
6,"LINESTRING (-2.1066987 57.1443526, -2.105586 57.1446604)",a5674a45-5b21-468d-ab88-e1c1746bfe28,Transport,Modified Attributes,Union Street,,dc5f9bbb-9dfe-40f2-8cfe-630784a0bc30,Pavement,2023-11-10,,,Minor Road,75.553,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-08-25,Automated Process,4.24,1.09
7,"LINESTRING (-2.1066977 57.1442715, -2.1062943 57.1438424, -2.1062599 57.1438175)",c0542461-7b5e-4b25-81e7-dbdb6c9b8f45,Transport,Modified Attributes,Bon-Accord Street,,3c2a54ab-f0ee-437d-b07f-6e947357e845,Pavement,2023-11-10,,,Minor Road,57.101,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-08-25,Automated Process,2.18,1.06
8,"LINESTRING (-2.108488 57.143853, -2.106824 57.1443177)",c4b3ad2c-fe36-4567-92c9-909cd29467fe,Transport,Modified Attributes,Union Street,,c7747d96-439d-4961-ae07-0fde70a3476e,Pavement,2023-11-10,,,Minor Road,113.207,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-08-25,Automated Process,4.07,0.82
0,"LINESTRING (-2.0943549 57.1338, -2.0942428 57.1339945)",1ce712a1-43e6-4a1f-9576-c51e7d33e86e,Transport,New,Wellington Road,,79c2c338-6fc2-4b0c-83cc-2553960f6981,Pavement,2023-09-14,,,A Road,22.699,,,Urban,,,,A956,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2019-08-25,Automated Process,2.78,0.73
