time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,latitude,longitude,elevation,u,v,canyon_factor,windward_height_avg,leeward_height_avg,road_distance,indicatedspeed_kph
2018-01-01,6.5,5.3,7.4,5.1,,251.0,19.8,,999.1,,51.546375,-0.46061,47.51951219512194,18.748178567323542,-6.367558433791576,39.6,2.266666666666667,3.985714285714285,66.82802055524162,48
2018-01-02,7.2,3.6,12.1,0.0,,222.0,16.0,,1005.0,,51.546375,-0.46061,47.51951219512194,-7.918374633430438,13.90321341146159,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2018-01-03,8.7,6.3,11.1,10.7,,268.0,37.9,,996.1,,51.546375,-0.46061,47.51951219512194,-21.592598755805167,-31.147546917386624,75.8,2.266666666666667,3.985714285714285,66.82802055524162,48
2018-01-04,8.0,6.0,12.4,4.3,,231.0,24.8,,994.4,,51.546375,-0.46061,47.51951219512194,2.3015942286177515,-24.692967906000963,0,2.266666666666667,3.985714285714285,66.82802055524162,48
2018-01-05,5.7,1.2,9.3,5.8,,239.0,14.4,,994.6,,51.546375,-0.46061,47.51951219512194,13.990824809030878,3.4083458103611046,0,2.266666666666667,3.985714285714285,66.82802055524162,48
2018-01-06,2.3,-1.3,5.5,0.3,,28.0,13.3,,1009.8,,51.546375,-0.46061,47.51951219512194,-12.802658021970437,3.6030469844946587,13.3,3.985714285714285,2.266666666666667,66.82802055524162,48
2018-01-07,3.2,2.1,5.6,0.0,,54.0,25.9,,1025.3,,51.546375,-0.46061,47.51951219512194,-21.47912467115559,-14.47263636525686,25.9,3.985714285714285,2.266666666666667,66.82802055524162,48
2018-01-08,3.9,2.5,4.8,0.0,,84.0,19.5,,1021.4,,51.546375,-0.46061,47.51951219512194,-13.260458163953105,14.297211241429197,19.5,3.985714285714285,2.266666666666667,66.82802055524162,48
2018-01-09,5.4,4.4,7.7,0.0,,135.0,9.8,,1007.7,,51.546375,-0.46061,47.51951219512194,-9.761660784383613,0.8660131238192141,9.8,3.985714285714285,2.266666666666667,66.82802055524162,48
2018-01-10,7.1,2.7,9.8,0.5,,266.0,11.1,,1004.7,,51.546375,-0.46061,47.51951219512194,-5.663252977500123,9.546599693756724,22.2,2.266666666666667,3.985714285714285,66.82802055524162,48
